source_text,target_text,source_language_code,target_language_code
i,я,en,uk
you,ти,en,uk
he,він,en,uk
she,вона,en,uk
it,воно,en,uk
we,ми,en,uk
they,вони,en,uk
my,мій,en,uk
your,твій,en,uk
his,його,en,uk
her,її,en,uk
our,наш,en,uk
their,їхній,en,uk
this,це,en,uk
that,те,en,uk
these,ці,en,uk
those,ті,en,uk
who,хто,en,uk
what,що,en,uk
which,який,en,uk
to be,бути,en,uk
is,є,en,uk
am,є,en,uk
are,є,en,uk
was,був,en,uk
were,були,en,uk
have,мати,en,uk
has,має,en,uk
had,мав,en,uk
do,робити,en,uk
does,робить,en,uk
did,робив,en,uk
go,йти,en,uk
goes,йде,en,uk
went,пішов,en,uk
come,приходити,en,uk
comes,приходить,en,uk
came,прийшов,en,uk
see,бачити,en,uk
sees,бачить,en,uk
saw,бачив,en,uk
look,дивитися,en,uk
looks,дивиться,en,uk
looked,дивився,en,uk
hear,чути,en,uk
hears,чує,en,uk
heard,чув,en,uk
listen,слухати,en,uk
listens,слухає,en,uk
listened,слухав,en,uk
tell,розповідати,en,uk
tells,розповідає,en,uk
told,розповів,en,uk
say,сказати,en,uk
says,каже,en,uk
said,сказав,en,uk
speak,говорити,en,uk
speaks,говорить,en,uk
spoke,говорив,en,uk
ask,запитати,en,uk
asks,запитує,en,uk
asked,запитав,en,uk
answer,відповідати,en,uk
answers,відповідає,en,uk
answered,відповів,en,uk
know,знати,en,uk
knows,знає,en,uk
knew,знав,en,uk
think,думати,en,uk
thinks,думає,en,uk
thought,думав,en,uk
feel,відчувати,en,uk
feels,відчуває,en,uk
felt,відчував,en,uk
want,хотіти,en,uk
wants,хоче,en,uk
wanted,хотів,en,uk
need,потребувати,en,uk
needs,потребує,en,uk
needed,потребував,en,uk
try,пробувати,en,uk
tries,пробує,en,uk
tried,пробував,en,uk
use,використовувати,en,uk
uses,використовує,en,uk
used,використовував,en,uk
make,робити,en,uk
makes,робить,en,uk
made,зробив,en,uk
give,давати,en,uk
gives,дає,en,uk
gave,дав,en,uk
take,брати,en,uk
takes,бере,en,uk
took,взяв,en,uk
put,класти,en,uk
puts,кладе,en,uk
find,знаходити,en,uk
finds,знаходить,en,uk
found,знайшов,en,uk
get,отримувати,en,uk
gets,отримує,en,uk
got,отримав,en,uk
leave,залишати,en,uk
leaves,залишає,en,uk
left,залишив,en,uk
bring,приносити,en,uk
brings,приносить,en,uk
brought,приніс,en,uk
buy,купувати,en,uk
buys,купує,en,uk
bought,купив,en,uk
sell,продавати,en,uk
sells,продає,en,uk
sold,продав,en,uk
pay,платити,en,uk
pays,платить,en,uk
paid,заплатив,en,uk
send,відправляти,en,uk
sends,відправляє,en,uk
sent,відправив,en,uk
receive,отримувати,en,uk
receives,отримує,en,uk
received,отримав,en,uk
learn,вчитися,en,uk
learns,вчиться,en,uk
learned,вчився,en,uk
teach,навчати,en,uk
teaches,навчає,en,uk
taught,навчав,en,uk
study,вивчати,en,uk
studies,вивчає,en,uk
studied,вивчав,en,uk
work,працювати,en,uk
works,працює,en,uk
worked,працював,en,uk
play,грати,en,uk
plays,грає,en,uk
played,грав,en,uk
live,жити,en,uk
lives,живе,en,uk
lived,жив,en,uk
start,починати,en,uk
starts,починає,en,uk
started,почав,en,uk
finish,закінчувати,en,uk
finishes,закінчує,en,uk
finished,закінчив,en,uk
stop,зупиняти,en,uk
stops,зупиняє,en,uk
stopped,зупинив,en,uk
open,відкривати,en,uk
opens,відкриває,en,uk
opened,відкрив,en,uk
close,закривати,en,uk
closes,закриває,en,uk
closed,закрив,en,uk
wait,чекати,en,uk
waits,чекає,en,uk
waited,чекав,en,uk
arrive,прибувати,en,uk
arrives,прибуває,en,uk
arrived,прибув,en,uk
travel,подорожувати,en,uk
travels,подорожує,en,uk
traveled,подорожував,en,uk
walk,ходити,en,uk
walks,ходить,en,uk
walked,ходив,en,uk
run,бігти,en,uk
runs,біжить,en,uk
ran,біг,en,uk
move,рухатися,en,uk
moves,рухається,en,uk
moved,рухався,en,uk
help,допомагати,en,uk
helps,допомагає,en,uk
helped,допоміг,en,uk
show,показувати,en,uk
shows,показує,en,uk
showed,показав,en,uk
write,писати,en,uk
writes,пише,en,uk
wrote,писав,en,uk
read,читати,en,uk
reads,читає,en,uk
remember,пам'ятати,en,uk
remembers,пам'ятає,en,uk
remembered,пам'ятав,en,uk
forget,забувати,en,uk
forgets,забуває,en,uk
forgot,забув,en,uk
understand,розуміти,en,uk
understands,розуміє,en,uk
understood,розумів,en,uk
love,любити,en,uk
loves,любить,en,uk
loved,любив,en,uk
like,подобатися,en,uk
likes,подобається,en,uk
liked,подобався,en,uk
hate,ненавидіти,en,uk
hates,ненавидить,en,uk
hated,ненавидів,en,uk
eat,їсти,en,uk
eats,їсть,en,uk
ate,їв,en,uk
drink,пити,en,uk
drinks,п'є,en,uk
drank,пив,en,uk
sleep,спати,en,uk
sleeps,спить,en,uk
slept,спав,en,uk
wake,прокидатися,en,uk
wakes,прокидається,en,uk
woke,прокинувся,en,uk
dress,одягатися,en,uk
dresses,одягається,en,uk
dressed,одягався,en,uk
wash,мити,en,uk
washes,миє,en,uk
washed,мив,en,uk
clean,чистити,en,uk
cleans,чистить,en,uk
cleaned,чистив,en,uk
cook,готувати,en,uk
cooks,готує,en,uk
cooked,готував,en,uk
break,ламати,en,uk
breaks,ламає,en,uk
broke,зламав,en,uk
fix,ремонтувати,en,uk
fixes,ремонтує,en,uk
fixed,ремонтував,en,uk
build,будувати,en,uk
builds,будує,en,uk
built,будував,en,uk
create,створювати,en,uk
creates,створює,en,uk
created,створив,en,uk
destroy,руйнувати,en,uk
destroys,руйнує,en,uk
destroyed,зруйнував,en,uk
change,змінювати,en,uk
changes,змінює,en,uk
changed,змінював,en,uk
grow,рости,en,uk
grows,росте,en,uk
grew,ріс,en,uk
happen,траплятися,en,uk
happens,трапляється,en,uk
happened,трапилося,en,uk
appear,з'являтися,en,uk
appears,з'являється,en,uk
appeared,з'явився,en,uk
time,час,en,uk
day,день,en,uk
year,рік,en,uk
week,тиждень,en,uk
month,місяць,en,uk
hour,година,en,uk
minute,хвилина,en,uk
second,секунда,en,uk
morning,ранок,en,uk
afternoon,післяобідній час,en,uk
evening,вечір,en,uk
night,ніч,en,uk
today,сьогодні,en,uk
tomorrow,завтра,en,uk
yesterday,вчора,en,uk
now,зараз,en,uk
later,пізніше,en,uk
soon,скоро,en,uk
early,рано,en,uk
late,пізно,en,uk
always,завжди,en,uk
usually,зазвичай,en,uk
often,часто,en,uk
sometimes,іноді,en,uk
rarely,рідко,en,uk
never,ніколи,en,uk
place,місце,en,uk
house,будинок,en,uk
apartment,квартира,en,uk
room,кімната,en,uk
kitchen,кухня,en,uk
bathroom,ванна кімната,en,uk
bedroom,спальня,en,uk
office,офіс,en,uk
building,будівля,en,uk
street,вулиця,en,uk
road,дорога,en,uk
city,місто,en,uk
town,містечко,en,uk
village,село,en,uk
country,країна,en,uk
state,штат,en,uk
world,світ,en,uk
school,школа,en,uk
university,університет,en,uk
library,бібліотека,en,uk
store,магазин,en,uk
shop,магазин,en,uk
restaurant,ресторан,en,uk
cafe,кафе,en,uk
hospital,лікарня,en,uk
bank,банк,en,uk
hotel,готель,en,uk
airport,аеропорт,en,uk
station,станція,en,uk
market,ринок,en,uk
park,парк,en,uk
beach,пляж,en,uk
mountain,гора,en,uk
river,річка,en,uk
lake,озеро,en,uk
sea,море,en,uk
ocean,океан,en,uk
forest,ліс,en,uk
person,особа,en,uk
people,люди,en,uk
man,чоловік,en,uk
woman,жінка,en,uk
child,дитина,en,uk
children,діти,en,uk
boy,хлопчик,en,uk
girl,дівчинка,en,uk
baby,немовля,en,uk
friend,друг,en,uk
family,сім'я,en,uk
parent,батько,en,uk
mother,мати,en,uk
father,батько,en,uk
son,син,en,uk
daughter,дочка,en,uk
brother,брат,en,uk
sister,сестра,en,uk
husband,чоловік,en,uk
wife,дружина,en,uk
grandfather,дідусь,en,uk
grandmother,бабуся,en,uk
uncle,дядько,en,uk
aunt,тітка,en,uk
cousin,двоюрідний брат/сестра,en,uk
neighbor,сусід,en,uk
teacher,вчитель,en,uk
student,студент,en,uk
doctor,лікар,en,uk
nurse,медсестра,en,uk
lawyer,юрист,en,uk
engineer,інженер,en,uk
